n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
38.89,38.79,41.61,41.78,37.88,45.17,41.92,39.55,43.69,40.35,38.40,38.82,43.31,42.36,40.54,40.55,38.96,40.17,37.48,40.75,41.18,40.55,41.51,39.30,39.79,41.06,38.79,40.10,38.32,42.45,36.06,43.61,39.17,41.18,38.01,39.06,38.47,39.34,41.36,42.09,36.59,40.60,40.89,36.89,36.69,43.70,39.30,41.83,40.38,38.78
76.78,80.99,81.57,79.17,76.70,79.37,82.19,78.52,82.57,79.80,78.92,80.61,77.93,78.83,84.05,79.32,79.28,78.84,81.23,80.57,79.56,79.97,80.38,81.49,82.43,82.62,78.37,77.22,81.89,76.04,79.52,78.04,79.88,80.34,78.72,80.87,78.49,78.89,82.76,80.70,81.23,80.39,83.20,79.21,80.78,80.40,79.22,76.84,80.73,81.38
57.54,58.23,59.78,63.90,59.39,55.33,59.62,64.12,59.62,61.17,60.93,60.95,60.27,60.13,62.19,57.65,59.96,58.86,60.39,58.72,59.45,60.69,61.27,61.15,61.10,61.39,56.09,60.57,57.40,59.50,58.57,62.40,59.06,61.92,57.17,62.18,60.86,61.21,60.08,59.73,59.97,58.06,56.54,59.87,57.99,59.49,57.18,59.17,62.10,57.66
36.71,36.34,35.96,32.95,39.26,37.26,35.29,32.67,37.44,34.31,35.38,37.73,39.47,35.12,37.77,34.78,32.58,33.60,33.92,34.73,34.46,38.67,36.61,38.44,35.74,38.05,34.00,36.52,36.59,35.01,35.31,35.74,36.27,35.25,35.48,35.16,34.74,38.04,35.34,34.52,37.30,36.89,36.35,38.86,35.02,35.76,37.76,34.63,37.47,31.77
35.85,34.25,34.68,34.32,30.08,32.73,34.71,36.26,33.24,33.94,33.31,34.39,34.08,33.82,39.51,35.41,35.20,38.42,33.41,33.28,37.65,31.74,33.17,31.69,35.09,33.53,37.60,34.39,34.04,29.39,35.34,35.92,32.64,39.17,33.73,34.54,32.63,35.26,34.12,36.23,33.18,31.53,36.21,32.31,33.76,33.88,28.83,33.97,31.47,34.33
40.13,21.34,40.47,41.08,43.55,36.73,10.47,41.51,41.87,18.28,39.26,36.65,41.48,37.89,24.76,41.79,39.52,43.95,33.91,40.92,21.88,42.88,41.69,37.12,40.77,41.35,38.23,42.76,39.84,38.96,41.06,42.62,41.88,41.67,36.48,39.58,43.72,39.53,40.45,40.64,39.97,41.91,41.53,38.64,42.04,41.56,41.18,45.67,38.37,38.66
42.34,44.80,41.29,44.51,42.25,43.61,44.41,41.95,41.43,39.44,45.28,44.94,43.93,46.01,47.68,44.24,49.11,43.84,41.97,44.16,44.64,46.20,42.91,46.46,45.49,43.47,41.86,44.29,44.84,45.19,41.32,44.20,44.37,41.43,44.11,43.29,43.43,41.13,42.96,45.85,41.49,44.04,43.00,45.63,44.49,43.71,41.05,42.60,44.69,42.52
39.88,37.99,45.13,40.80,41.00,42.18,42.25,38.15,40.84,36.91,38.49,38.10,41.01,42.31,40.73,41.35,40.76,37.87,38.14,41.98,41.63,36.39,40.52,42.10,40.04,41.87,39.20,42.92,39.87,40.07,38.63,41.97,40.58,40.75,38.20,40.01,37.81,40.10,39.79,40.89,37.08,41.36,43.85,39.52,39.38,39.28,42.58,39.86,43.01,40.33
37.95,36.66,38.63,36.14,37.09,37.22,37.92,35.16,38.54,35.85,35.40,37.57,40.73,38.48,40.21,38.00,36.88,37.11,35.81,37.14,37.88,36.99,36.71,39.81,37.76,36.34,33.96,36.63,41.15,38.04,36.88,38.60,39.00,37.54,36.69,35.15,36.82,38.88,37.16,38.95,39.91,40.01,36.36,35.84,41.34,39.08,39.49,42.29,38.81,36.54
34.76,36.86,37.84,36.87,31.60,31.66,35.42,32.04,29.85,35.68,31.91,32.07,34.11,32.68,34.57,30.58,33.47,32.99,34.03,36.00,37.11,35.30,33.39,33.60,31.57,30.20,33.77,30.76,31.06,36.83,33.62,36.14,34.97,35.16,33.44,37.70,34.46,33.41,37.49,32.59,32.01,34.91,31.80,35.51,28.32,34.07,35.84,35.36,33.84,31.84
36.83,40.39,41.51,40.09,39.96,39.20,39.23,42.57,40.82,40.96,39.51,42.23,39.86,41.18,37.42,39.94,40.57,39.95,35.80,39.07,37.26,38.48,41.55,40.97,40.60,40.45,43.83,41.49,44.29,40.71,38.26,39.55,41.61,38.77,37.64,37.52,41.06,42.72,38.14,39.11,38.66,40.07,37.79,36.31,40.66,39.67,38.39,39.15,38.46,39.87
43.40,46.44,43.62,45.81,42.44,41.80,46.86,42.03,44.79,45.67,40.44,44.42,46.38,43.30,45.37,43.88,42.62,43.25,45.49,45.32,43.42,46.51,42.20,45.53,46.00,44.52,42.43,43.84,42.64,47.50,45.04,43.73,43.76,43.17,48.13,42.42,46.67,45.80,49.62,43.46,42.71,43.29,43.64,39.70,44.85,43.03,44.77,45.14,42.19,45.47
70.28,79.70,78.50,78.70,72.38,75.84,73.66,78.33,77.08,78.81,74.93,75.31,75.82,74.83,74.07,74.86,78.50,75.73,75.96,73.78,73.20,76.73,75.19,78.96,75.70,72.18,78.86,80.66,75.72,73.06,75.88,75.08,77.44,75.95,75.19,71.00,78.03,76.18,76.56,75.72,76.03,74.60,77.95,80.18,77.23,78.39,74.77,73.72,78.26,80.57
115.20,117.29,119.40,116.57,118.49,119.56,115.85,116.52,116.81,115.75,112.97,116.29,116.77,117.33,121.22,116.13,116.84,118.12,116.76,116.94,117.05,115.33,114.44,115.04,116.61,117.68,117.31,116.57,115.69,119.83,115.28,116.75,119.01,117.43,117.36,114.54,113.08,116.26,118.15,111.45,112.79,117.06,117.90,117.70,114.90,116.13,118.31,115.77,118.89,118.43
159.40,156.69,155.87,153.52,158.71,158.33,156.93,159.80,159.86,160.10,159.43,155.05,155.68,157.90,160.10,159.44,158.49,156.79,162.64,155.81,159.74,156.13,160.99,157.40,155.49,154.85,155.07,160.47,159.56,158.08,156.46,157.21,163.84,158.86,156.64,155.72,153.54,157.11,158.64,156.38,155.46,157.90,157.15,154.39,157.23,155.03,159.26,154.87,157.29,158.56
165.50,162.27,162.17,162.58,162.48,160.76,161.16,163.83,162.27,164.27,163.28,161.13,157.22,161.53,161.26,161.87,162.13,163.50,162.10,161.52,163.47,163.07,160.90,160.22,164.43,162.43,162.09,162.17,161.78,162.98,160.64,164.41,162.00,159.26,164.90,165.30,160.10,162.95,162.51,159.43,161.13,165.28,161.91,161.49,166.49,162.35,163.22,161.04,158.64,164.78
144.23,143.69,146.07,144.37,140.40,145.54,143.06,145.15,144.40,146.70,145.34,143.38,144.15,142.36,144.70,145.09,146.66,143.54,141.97,147.24,144.29,144.66,142.97,144.00,139.77,139.55,142.75,145.13,145.67,141.77,146.63,147.03,143.80,146.54,145.46,142.12,139.87,140.88,146.16,144.84,143.31,145.37,144.47,144.60,144.49,142.96,141.34,145.13,144.21,140.37
