path_number,start_node,end_node,R,X,real_load,reactive_load
0,0,1,0.0922,0.047,100,60
1,1,2,0.493,0.2511,90,40
2,2,3,0.66,0.1864,120,80
3,3,4,0.3811,0.1941,60,30
4,4,5,0.819,0.707,60,20
5,5,6,0.1872,0.6188,200,100
6,6,7,0.7114,0.2351,200,100
7,7,8,1.03,0.74,60,20
8,8,9,1.044,0.74,60,20
9,9,10,0.1966,0.065,45,30
10,10,11,0.3744,0.1298,60,35
11,11,12,1.468,1.155,60,35
12,12,13,0.5416,0.7129,120,80
13,13,14,0.591,0.526,60,10
14,14,15,0.7463,0.545,60,20
15,15,16,1.289,1.721,60,20
16,16,17,0.732,0.574,90,40
17,1,18,0.164,0.1565,90,40
18,18,19,1.5042,1.3554,90,40
19,19,20,0.4095,0.4784,90,40
20,20,21,0.7089,0.9373,90,40
21,2,22,0.4512,0.3083,90,50
22,22,23,0.898,0.7091,420,200
23,23,24,0.896,0.7011,420,200
24,5,25,0.203,0.1034,60,25
25,25,26,0.2842,0.1447,60,25
26,26,27,1.059,0.9337,60,20
27,27,28,0.8042,0.7006,120,70
28,28,29,0.5075,0.2585,200,600
29,29,30,0.9744,0.963,150,70
30,30,31,0.3105,0.3619,210,100
31,31,32,0.341,0.5302,60,40
32,7,20,2,2,-1,-1
33,8,14,2,2,-1,-1
34,11,21,2,2,-1,-1
35,17,32,0.5,0.5,-1,-1
36,24,28,0.5,0.5,-1,-1
