n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
21.54,22.38,18.65,18.80,19.50,15.84,21.65,17.83,18.66,21.10,22.01,18.62,21.24,17.57,23.41,23.31,19.30,22.71,20.05,18.42,18.33,22.22,17.52,18.73,20.70,22.61,20.76,15.59,20.38,23.40,22.68,22.17,20.98,18.13,20.44,19.46,19.51,18.26,24.11,18.32,20.09,20.04,22.63,19.96,15.99,21.25,18.50,20.65,24.55,24.54
40.32,38.08,39.64,39.66,41.23,41.52,39.37,40.40,39.09,39.46,38.19,37.24,39.49,39.50,41.26,43.31,38.36,39.13,40.44,44.77,37.76,42.40,40.42,36.67,41.93,37.00,39.59,35.55,38.68,39.58,38.74,37.74,41.88,40.19,39.29,40.87,40.80,37.35,41.28,36.87,43.52,40.61,43.96,39.66,39.86,40.63,41.66,36.85,38.73,39.17
31.23,28.21,30.69,35.36,27.99,29.81,29.78,32.08,29.23,27.26,33.39,32.79,28.05,26.94,31.17,31.81,29.89,28.41,27.87,31.73,29.33,30.35,25.53,30.12,29.35,29.84,33.55,33.32,30.17,32.27,29.12,33.07,30.34,32.74,30.39,30.39,28.19,29.59,25.95,31.03,26.19,30.27,28.75,32.42,32.54,30.26,30.05,32.21,29.93,27.04
15.37,19.78,17.47,21.11,20.36,18.32,18.99,18.83,20.09,21.12,17.50,18.12,19.70,15.09,15.96,17.48,21.11,16.38,19.07,21.57,17.26,15.12,14.61,15.12,17.95,18.86,19.36,17.40,13.47,16.82,20.33,15.97,17.55,18.83,18.89,19.80,14.85,15.72,16.36,18.01,18.06,17.46,16.65,19.14,20.52,15.70,14.47,18.04,20.41,20.40
15.27,16.98,16.40,17.08,15.54,16.46,15.48,21.55,19.69,19.17,16.04,17.49,16.87,17.73,9.80,17.90,16.37,19.10,17.02,20.23,18.60,18.55,14.71,11.53,15.92,18.49,14.42,14.65,18.62,13.49,16.02,14.00,16.58,20.46,20.56,19.15,15.42,21.27,15.80,18.23,15.58,16.77,16.44,16.83,17.73,20.73,19.55,17.12,18.94,13.55
17.85,18.70,20.73,7.06,18.74,22.93,11.24,20.46,18.59,25.05,9.71,17.06,18.78,21.56,8.61,19.41,18.89,7.05,15.62,20.00,19.05,24.05,23.06,19.04,20.28,23.73,22.12,19.97,16.77,21.11,23.05,20.38,20.24,23.62,19.07,21.67,19.20,18.65,17.19,18.28,19.71,19.36,16.28,21.19,20.80,20.97,23.24,21.78,21.04,23.05
25.53,22.38,21.19,20.53,23.16,20.64,17.85,22.66,20.46,17.53,26.44,21.41,22.25,22.46,19.51,17.60,20.37,20.05,23.23,21.80,18.28,21.49,21.91,22.41,18.87,21.80,19.50,15.72,20.40,16.25,22.76,22.48,23.46,24.52,23.37,22.46,21.20,23.95,17.95,21.98,24.23,24.87,22.89,20.01,19.86,21.36,21.82,20.17,23.90,19.99
19.03,15.90,20.94,21.30,21.22,21.54,20.45,20.63,22.29,23.04,21.50,18.84,15.57,18.57,18.70,20.04,23.95,16.27,19.85,17.19,18.48,18.63,20.59,20.09,18.15,21.28,18.75,20.40,17.25,21.48,19.26,23.25,21.77,21.84,22.17,21.80,21.29,19.58,21.24,22.19,20.69,20.27,20.13,20.77,21.72,20.31,18.13,21.42,22.01,19.53
18.92,21.12,16.63,17.86,16.80,19.21,17.52,19.98,23.88,20.20,17.42,17.51,19.37,16.30,18.07,21.66,16.75,20.05,17.97,18.63,19.41,17.40,15.19,18.06,20.95,16.97,17.62,20.12,19.69,19.25,24.64,17.08,22.36,15.82,20.66,19.87,19.88,19.00,17.55,18.22,13.03,18.33,20.66,19.43,20.50,14.95,18.11,18.05,20.78,18.70
18.60,16.08,17.48,17.22,19.71,15.12,15.44,18.23,16.27,17.33,15.90,17.04,18.00,16.64,23.99,12.35,15.46,14.04,14.98,20.15,18.22,13.94,15.98,17.73,19.62,18.99,13.13,16.46,20.67,16.82,16.49,14.98,19.29,11.43,16.42,19.04,17.45,19.06,16.06,19.39,15.71,17.50,13.81,20.06,18.76,16.82,20.26,16.78,18.46,15.43
17.91,22.88,20.70,19.00,19.50,19.33,20.03,23.19,18.99,16.51,20.13,20.10,19.29,21.73,20.29,18.76,16.79,22.87,18.76,22.45,17.45,18.52,18.57,21.49,17.23,17.40,23.36,20.51,16.10,21.24,18.76,19.13,21.00,17.94,16.88,19.23,15.65,19.13,22.69,19.19,18.05,20.81,19.05,23.12,19.03,20.44,18.52,21.39,19.93,19.61
19.54,21.40,20.43,22.08,23.60,20.03,18.61,20.56,21.69,23.46,22.64,20.98,25.25,22.43,22.41,24.96,19.62,21.76,24.47,21.58,25.10,20.88,21.49,22.48,20.33,20.85,25.05,24.11,23.73,23.05,26.38,23.07,20.98,22.14,21.33,21.34,21.38,21.38,22.57,20.69,22.92,21.55,19.83,22.44,24.44,19.72,24.50,22.76,23.21,22.93
36.72,38.55,36.65,38.66,39.59,35.99,37.17,38.79,35.04,36.96,40.92,36.56,35.96,35.39,39.23,39.94,35.59,36.71,35.63,34.95,38.92,36.88,39.17,40.62,40.43,36.66,36.64,38.51,34.17,36.69,36.53,37.19,37.45,38.85,35.45,38.70,37.37,38.15,39.08,39.21,36.84,36.59,39.38,42.26,38.62,35.52,39.21,37.81,38.91,36.51
56.52,59.23,59.96,54.66,54.91,56.94,55.67,58.93,57.06,56.43,57.20,58.07,57.93,60.81,57.30,55.49,53.68,57.04,59.98,57.91,56.89,61.26,57.67,59.54,57.78,58.57,55.95,56.57,58.79,61.35,56.64,55.04,59.38,60.93,60.05,57.08,56.65,55.95,57.10,57.21,56.03,55.52,57.17,58.42,58.45,59.01,54.99,58.49,57.23,55.65
78.16,78.60,75.51,75.60,77.90,81.11,76.83,80.82,77.63,78.94,78.25,78.76,76.58,80.66,82.01,77.72,77.55,76.45,79.70,79.02,81.99,78.75,78.61,75.21,75.95,79.48,79.80,79.41,76.84,80.52,78.58,75.25,79.13,77.27,78.42,82.59,79.00,78.18,76.61,78.70,81.41,79.48,78.94,77.68,74.82,76.28,77.71,78.31,79.21,80.58
79.57,81.59,79.07,83.72,81.32,80.29,80.55,79.05,78.48,82.56,79.00,81.11,77.67,86.18,78.29,80.77,81.01,81.70,79.17,79.36,83.40,84.80,82.23,79.86,80.64,82.79,84.27,79.65,82.79,80.83,80.05,82.54,83.96,81.45,82.91,83.98,82.08,81.10,80.89,81.37,79.95,83.31,80.87,83.78,82.07,80.76,81.75,80.34,76.80,79.97
70.77,70.38,73.43,69.85,68.85,69.46,71.77,71.23,72.79,74.95,73.10,72.37,71.34,70.74,71.09,70.49,71.93,72.44,70.85,71.33,73.13,70.90,73.03,74.40,68.53,70.41,69.37,68.83,72.10,70.78,72.19,69.41,71.49,71.77,71.04,71.94,73.92,72.00,72.44,70.29,71.52,73.80,75.42,69.39,73.66,71.11,70.14,70.57,70.91,71.64
80.21,73.22,77.64,78.89,79.27,76.84,81.01,79.14,79.22,78.19,81.70,80.13,79.21,81.70,78.85,76.64,75.48,78.29,77.50,77.92,80.68,77.43,77.37,77.81,74.61,77.40,76.95,76.28,78.38,79.52,79.36,76.25,75.22,78.44,77.78,79.53,81.67,79.52,77.35,78.82,80.63,78.55,75.72,79.79,76.02,76.49,82.64,73.26,79.02,80.01
72.45,71.00,68.58,69.21,67.64,71.06,70.61,72.02,75.55,71.55,70.72,70.26,72.68,67.88,71.32,72.10,69.66,70.70,74.23,69.01,71.47,69.68,69.08,70.80,69.81,73.94,73.50,70.34,73.79,71.81,69.66,66.11,72.40,72.08,71.72,70.97,70.69,68.94,69.32,74.15,73.07,71.94,72.20,72.24,74.09,73.88,74.49,69.88,73.63,66.65
74.83,74.36,71.00,73.21,74.06,74.60,71.94,73.10,71.14,70.47,74.80,71.40,72.08,78.02,75.11,74.79,73.50,74.38,72.80,69.78,71.36,73.51,70.19,75.16,73.87,74.33,74.86,73.84,75.66,72.47,73.38,74.11,74.30,74.45,73.79,73.11,71.63,73.33,75.16,73.24,69.46,71.35,69.66,74.05,71.39,69.95,72.79,74.83,74.01,69.61
