n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
104.23,97.01,102.84,99.08,104.35,97.85,100.05,101.68,99.78,100.13,102.13,101.57,97.72,101.71,101.88,97.92,100.59,100.13,97.85,96.34,104.78,99.28,103.40,99.88,94.60,101.61,103.01,108.65,101.61,102.43,101.33,98.24,97.81,99.85,91.21,102.99,103.87,95.52,96.00,96.43,98.90,100.55,97.63,101.92,99.25,98.19,99.77,99.19,101.39,100.00
203.94,196.86,203.33,204.56,197.74,204.88,200.11,202.00,196.44,199.00,198.06,200.66,193.57,202.73,203.49,200.29,203.89,197.54,200.64,196.43,200.30,200.18,203.22,202.43,199.96,205.76,201.40,203.97,200.72,200.65,195.38,203.24,197.70,204.60,193.97,200.00,195.93,203.14,198.44,202.08,201.25,198.96,200.37,197.77,198.06,199.52,202.94,196.25,203.65,201.28
146.08,149.18,153.38,155.53,153.27,147.84,147.65,151.09,150.88,153.05,151.55,147.43,150.82,154.89,147.02,149.94,151.77,150.91,153.61,147.61,155.55,147.48,151.67,149.89,153.97,150.06,151.93,149.49,150.67,148.53,147.83,152.15,145.69,155.42,149.26,146.36,148.81,147.52,155.25,146.04,148.87,149.84,153.34,148.57,147.78,151.09,145.18,145.22,153.23,153.60
89.49,90.70,85.66,89.29,88.36,88.06,91.96,86.48,87.40,87.94,85.96,88.24,90.83,94.46,89.57,85.46,90.95,85.97,93.73,90.30,85.52,93.83,89.48,90.87,84.99,93.41,90.45,89.70,87.23,93.12,92.23,89.53,88.45,92.04,90.49,87.92,85.05,90.93,87.38,84.96,81.75,92.49,90.79,93.41,87.66,92.54,87.29,86.51,86.50,87.06
82.88,83.57,84.99,91.81,89.16,89.55,86.32,86.07,87.29,85.46,86.27,81.25,82.79,87.46,88.64,85.05,83.75,85.78,86.52,86.88,86.54,85.87,84.70,86.83,86.87,82.53,88.97,87.17,89.50,83.43,85.93,87.58,82.20,84.78,90.18,84.17,84.41,88.07,85.82,90.12,84.34,88.77,83.64,88.38,80.18,87.88,82.53,81.83,85.25,87.35
103.54,97.10,97.94,103.81,106.92,101.50,104.08,101.68,104.20,97.65,103.18,98.46,102.32,97.44,101.36,102.67,105.74,96.85,98.03,99.16,101.48,99.55,98.30,101.97,98.07,98.06,97.70,107.53,100.13,103.56,97.13,97.66,93.91,98.36,98.06,104.75,102.05,101.97,97.42,101.91,92.56,101.98,95.01,95.91,100.07,96.54,101.31,99.90,98.73,98.05
104.30,115.29,106.20,108.76,108.29,113.86,110.10,108.97,110.85,109.43,110.14,115.40,107.91,109.51,104.88,113.40,111.73,109.80,106.35,111.99,109.14,113.15,108.95,112.84,106.83,108.69,115.60,109.42,112.51,112.95,108.97,108.92,111.46,113.33,110.90,111.37,106.42,107.78,108.20,110.99,110.57,110.80,110.72,107.92,107.88,112.55,112.42,106.11,111.11,105.81
101.78,98.44,100.43,97.82,97.75,100.01,102.48,98.50,99.88,98.22,103.25,101.76,97.08,96.43,104.42,97.32,106.27,97.15,100.76,100.65,96.63,100.97,102.36,97.73,95.91,95.12,105.97,101.88,99.38,97.45,98.42,101.95,99.19,95.77,101.90,104.11,98.94,98.00,101.45,95.46,101.46,100.51,97.02,103.38,100.31,98.15,106.92,102.73,100.93,95.93
95.64,93.36,91.58,98.67,88.47,92.07,93.07,96.84,95.77,98.15,96.52,95.22,93.47,97.26,98.55,91.92,93.14,95.37,101.06,99.58,92.77,96.24,99.16,96.68,97.39,87.17,97.49,96.60,90.58,94.96,95.98,92.85,93.76,92.70,93.81,91.32,96.67,92.90,93.11,92.27,92.61,95.13,94.43,94.70,97.76,96.88,95.44,93.89,92.55,95.86
88.42,84.59,79.53,82.88,82.32,83.03,86.19,88.93,83.13,88.37,83.31,86.14,82.95,80.58,80.34,79.65,86.69,89.04,83.89,86.27,85.27,87.85,84.62,84.85,83.89,83.79,81.58,83.06,83.95,88.04,83.35,83.22,84.66,83.33,82.63,87.66,83.78,85.85,91.14,85.18,87.91,90.61,86.06,80.90,85.73,87.06,85.07,82.97,81.13,87.52
