n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
194.47,203.17,203.07,199.69,198.17,192.78,190.50,201.36,190.50,198.71,204.74,200.81,198.54,202.07,200.76,200.46,203.51,206.04,196.57,205.57,201.35,194.16,201.79,202.42,208.06,192.49,206.62,201.89,200.38,206.64,197.40,199.62,200.64,199.36,205.76,205.75,200.39,205.14,199.65,197.65,208.58,197.58,200.29,200.62,198.56,199.63,199.73,197.83,194.88,194.54
405.16,405.98,397.23,394.56,398.70,399.03,399.69,407.07,399.46,394.10,398.42,401.66,407.36,403.37,402.96,403.50,398.84,398.20,410.20,402.73,403.46,399.07,397.93,406.67,406.51,398.68,400.72,396.77,401.86,402.33,397.91,395.14,396.20,404.83,398.08,399.68,403.63,397.98,397.50,406.99,402.61,401.13,399.66,399.51,397.53,392.69,399.52,404.59,395.69,403.00
297.02,301.09,302.23,303.08,302.73,304.61,296.39,298.95,301.32,297.60,294.59,297.44,303.90,298.68,299.55,302.13,303.27,302.29,298.51,297.14,303.99,299.86,304.91,302.73,305.96,296.86,301.25,294.49,298.59,305.27,301.59,295.50,299.47,293.78,298.90,294.60,305.58,295.79,297.38,303.74,298.08,300.28,301.30,303.49,299.89,298.24,293.15,299.48,302.60,301.77
179.00,184.14,184.42,180.05,185.04,181.77,179.88,178.62,181.93,179.64,176.54,181.13,178.53,179.22,182.50,183.59,177.67,184.74,172.98,185.97,184.51,174.64,182.24,181.43,180.91,182.25,176.27,185.11,181.19,173.03,182.99,181.84,176.77,180.63,176.30,185.19,175.32,184.71,177.34,186.33,180.79,175.28,176.51,180.11,179.65,177.05,184.31,179.30,177.26,181.41
172.93,167.46,173.42,169.25,169.83,161.20,163.99,175.29,167.47,172.26,167.90,168.02,165.95,168.73,160.51,173.68,171.97,167.60,174.85,173.34,165.55,176.73,169.42,166.14,167.51,162.38,172.14,170.94,171.46,168.83,175.45,167.05,167.09,175.56,170.83,170.44,175.95,169.42,167.84,166.71,178.13,168.30,166.66,174.69,175.58,173.80,176.21,166.99,163.18,168.24
208.27,200.71,201.11,203.24,197.40,191.93,203.99,192.78,204.49,196.38,193.40,206.73,197.28,197.72,197.30,197.86,202.46,199.98,198.64,196.49,204.73,200.11,196.96,194.63,200.22,203.57,209.00,194.56,192.52,199.50,197.63,208.89,203.35,206.66,202.36,197.17,201.68,193.45,195.79,202.15,203.96,203.70,204.52,195.92,205.25,196.60,195.38,197.25,202.91,205.25
223.12,221.09,218.00,223.58,228.70,212.97,213.07,222.24,215.05,217.67,223.29,215.70,221.73,219.71,215.02,224.07,217.74,220.31,221.99,216.01,223.64,226.03,218.46,219.55,213.26,225.26,223.00,226.25,225.47,219.31,223.14,221.32,219.64,219.77,226.15,222.13,215.56,221.44,223.55,221.80,219.95,219.78,216.10,222.02,219.31,219.10,222.83,214.82,219.62,218.59
192.30,201.14,207.97,202.42,206.20,203.27,197.42,197.19,205.77,201.52,198.81,199.29,203.96,197.59,196.75,196.60,199.56,195.47,197.77,204.42,192.99,198.22,192.85,200.42,199.32,198.98,202.06,199.00,201.57,202.44,202.53,201.18,200.06,199.59,197.85,206.63,198.71,198.08,198.60,198.80,195.99,202.36,198.36,201.51,203.76,201.94,201.54,199.39,201.97,200.12
190.08,195.07,193.74,190.88,191.03,187.89,183.63,192.58,185.18,190.22,192.10,189.07,192.99,189.77,187.42,186.88,189.50,191.91,193.00,186.17,194.05,191.17,188.25,190.69,184.40,191.66,189.72,184.77,193.81,183.05,190.38,188.67,194.00,193.15,186.14,187.71,193.68,197.24,184.61,190.16,186.05,187.03,192.50,193.20,192.76,193.55,193.01,184.76,188.01,196.76
174.69,170.74,164.66,172.02,170.27,180.13,170.33,172.53,167.21,170.62,173.28,166.23,178.36,161.24,166.67,164.29,172.15,169.29,170.61,166.76,172.04,168.64,170.79,171.48,168.60,168.86,171.50,172.87,166.27,171.86,168.22,168.05,168.79,168.02,167.00,174.49,169.16,170.78,164.54,166.64,169.00,162.10,167.93,172.33,171.47,166.89,170.74,173.09,174.91,173.17
