n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
200.26,198.22,198.43,202.94,199.45,197.80,203.66,199.83,194.61,195.53,201.89,199.19,197.23,198.94,201.28,199.80,200.59,201.08,205.33,195.98,207.22,197.86,203.49,191.44,195.26,196.51,193.92,205.15,200.21,197.03,203.00,197.04,201.20,202.03,201.65,200.53,203.74,192.11,194.90,201.85,203.99,193.03,192.97,204.64,207.58,199.17,204.29,206.78,200.03,198.01
400.03,398.94,402.57,401.06,398.42,401.90,405.22,402.56,402.87,397.64,396.83,397.45,401.39,394.43,399.41,400.72,402.65,398.73,404.90,397.28,398.01,404.47,405.59,401.81,401.08,403.74,402.31,399.58,402.69,403.61,396.37,401.65,397.31,397.84,405.69,402.95,403.76,398.40,398.35,396.95,398.59,396.89,405.48,396.99,403.29,395.02,399.04,400.97,395.27,395.91
303.71,301.64,296.42,299.02,303.63,301.13,304.06,301.33,301.91,300.80,296.34,295.79,301.01,300.98,298.62,298.73,299.31,298.65,303.60,298.38,297.09,301.90,299.91,292.89,298.25,299.02,301.50,300.57,303.45,299.09,295.63,300.09,306.94,297.54,293.75,300.88,301.54,295.97,301.61,296.73,301.21,299.90,299.38,301.80,298.62,300.02,290.59,301.92,295.93,296.64
183.44,176.49,175.75,178.76,178.82,186.04,180.74,179.01,182.83,176.54,183.79,179.39,183.86,178.13,182.15,177.11,176.07,174.82,175.52,180.35,180.07,179.94,186.52,179.51,174.01,183.97,183.82,180.41,178.43,185.33,183.76,177.81,175.69,188.68,180.08,175.03,178.38,180.46,179.80,179.99,181.26,181.62,175.99,180.40,180.47,175.96,178.95,179.35,180.34,184.09
164.45,170.02,166.50,172.72,173.48,171.44,173.17,172.14,167.40,166.55,173.56,167.22,172.53,172.08,172.22,174.08,169.68,169.21,173.15,170.23,172.94,176.14,168.27,174.99,168.25,170.33,169.58,169.12,170.49,164.56,171.22,165.20,172.30,168.67,168.50,169.37,168.13,166.97,168.10,169.37,169.87,176.03,168.36,170.07,169.03,166.47,169.06,170.64,163.19,172.25
199.05,194.94,202.07,203.29,203.95,200.38,201.25,199.44,201.84,195.21,198.45,198.22,204.60,197.88,203.94,202.43,199.85,201.01,200.85,197.86,199.20,198.65,203.06,201.48,196.45,202.73,201.09,199.94,203.04,197.55,195.32,199.42,201.17,199.40,204.12,196.37,201.14,196.25,201.71,198.24,200.27,201.57,203.06,204.91,197.65,199.08,202.80,191.77,199.89,194.53
220.27,213.26,221.73,213.50,223.18,214.62,216.43,221.02,222.28,218.31,220.06,221.00,221.58,223.98,219.98,219.36,224.12,223.31,220.63,217.25,219.34,224.10,219.79,222.88,222.54,216.79,216.72,220.05,219.78,220.38,218.80,221.16,221.03,219.69,226.43,219.38,217.96,218.22,221.18,219.92,220.54,216.86,220.09,223.37,220.64,216.28,217.41,217.70,222.46,220.84
197.08,198.87,200.48,194.51,204.34,198.30,199.82,197.77,198.85,201.43,198.40,200.89,199.15,205.39,205.04,199.30,193.55,198.60,199.04,200.13,198.51,198.83,201.88,198.31,202.70,200.63,199.58,201.82,195.86,202.31,203.99,196.20,198.82,194.94,198.52,202.40,201.48,204.83,198.09,196.63,197.52,202.14,201.04,198.63,204.23,200.03,199.09,200.56,196.62,196.67
187.49,188.74,188.28,191.87,192.28,190.09,192.96,191.18,186.89,191.19,191.68,185.15,188.22,188.76,190.28,188.01,190.18,190.30,187.24,192.14,191.98,192.31,188.97,188.77,189.31,194.31,190.12,191.31,189.31,184.97,190.36,192.67,191.27,187.22,185.32,192.95,190.48,194.91,187.14,184.70,186.67,191.08,186.92,188.94,191.23,191.59,195.17,189.59,187.03,192.34
169.94,173.80,168.13,167.06,167.48,165.92,169.67,173.33,173.68,169.98,170.45,168.93,167.72,173.23,173.06,169.78,177.00,169.42,169.15,173.59,171.78,171.71,164.57,173.15,168.31,175.03,170.56,171.74,166.57,169.97,169.33,170.80,168.90,167.70,170.17,172.89,173.02,167.77,169.92,167.53,166.21,168.68,172.37,168.82,166.90,167.29,168.34,168.39,172.87,169.82
