n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
193.59,201.33,199.39,202.26,196.67,202.72,202.39,195.49,194.03,194.77,194.79,200.32,202.90,198.28,201.22,198.46,195.12,204.64,196.71,201.31,197.69,196.89,198.93,204.46,203.94,196.71,201.90,197.78,191.67,196.53,193.28,197.24,197.22,197.55,200.51,197.22,201.67,195.64,201.16,198.90,204.25,200.49,206.13,197.90,199.12,201.54,193.47,199.67,198.99,197.81
398.84,402.34,397.68,399.88,403.23,402.71,393.29,395.30,398.90,395.53,395.24,402.19,391.96,406.59,399.31,397.80,397.66,401.11,401.87,402.73,400.66,396.56,397.80,403.63,389.79,404.78,399.37,399.07,400.43,403.69,399.87,403.20,400.85,395.54,406.97,405.26,401.15,400.32,396.56,402.31,401.20,398.31,398.99,400.11,399.08,409.68,398.19,402.42,393.45,405.40
301.72,307.15,300.39,291.26,299.11,299.59,298.50,300.65,298.53,299.64,299.73,298.38,306.41,304.32,299.20,308.89,303.35,300.40,299.30,300.88,301.49,299.07,305.47,305.81,296.73,302.22,300.26,298.99,297.27,298.46,296.33,303.82,299.77,303.43,297.21,298.92,300.41,304.70,302.55,302.96,294.38,309.83,299.82,296.07,299.41,298.12,293.23,296.52,299.07,299.14
176.83,177.49,175.78,184.00,178.31,180.94,178.11,178.73,179.98,174.52,179.70,179.41,181.43,177.86,176.19,180.64,183.22,181.53,174.58,178.57,180.29,177.97,182.13,177.30,178.61,174.79,175.59,186.32,177.75,177.20,183.68,180.37,176.42,169.99,177.02,181.94,185.47,191.69,174.76,183.74,179.38,180.22,183.41,176.97,175.05,186.24,175.23,177.30,184.53,174.53
176.71,178.50,168.49,174.03,170.44,167.11,171.44,171.68,169.13,166.84,168.60,169.39,166.65,172.90,170.35,168.28,170.58,166.10,167.41,170.12,173.37,174.98,169.06,164.20,166.29,174.42,173.45,169.19,168.61,170.41,169.72,161.84,171.76,172.45,173.67,169.42,171.71,177.43,172.35,173.20,170.36,173.04,171.76,173.25,166.10,172.40,176.06,166.46,171.90,171.12
193.96,195.27,195.09,199.93,205.16,198.82,208.64,195.44,199.82,199.58,197.68,200.11,198.80,199.39,199.23,195.31,199.85,205.23,198.98,202.56,198.56,198.74,196.68,203.78,203.92,200.85,195.57,196.17,201.48,201.96,196.05,206.29,198.05,202.79,199.00,194.79,200.54,204.54,196.12,208.37,202.33,196.65,201.05,204.79,204.68,202.23,196.29,206.60,198.01,199.43
216.42,216.44,219.02,219.44,219.14,216.42,218.78,223.98,222.61,227.98,218.79,222.79,215.93,222.83,212.44,222.47,213.62,220.03,218.86,223.75,224.19,217.66,225.85,222.13,222.04,213.96,221.89,214.98,219.26,218.40,225.06,221.96,218.56,218.64,222.33,219.19,215.05,221.51,215.17,219.87,225.45,220.33,211.37,210.37,222.81,218.66,220.20,225.12,220.64,222.67
193.85,204.93,201.64,201.66,192.50,208.36,199.48,197.12,204.71,203.42,195.30,201.31,193.52,196.02,203.28,199.87,197.22,199.52,201.40,204.49,201.44,195.59,194.36,206.84,206.21,202.11,197.74,196.86,205.66,205.14,200.58,201.17,195.59,203.50,210.80,204.18,191.96,207.67,198.93,203.01,198.20,198.60,200.81,198.83,192.90,193.36,199.56,204.06,198.85,202.70
187.94,190.95,190.20,196.68,193.86,196.55,189.69,184.20,193.31,186.93,193.56,198.05,193.99,189.35,195.18,187.45,192.46,190.80,194.23,194.72,193.60,190.38,189.16,196.37,190.48,188.38,196.54,191.87,184.90,194.84,192.42,188.87,186.62,190.20,196.26,189.35,183.95,184.12,192.72,188.45,194.97,189.21,192.95,189.55,186.98,187.27,194.94,191.21,193.40,191.73
163.42,172.57,166.32,169.19,171.29,172.76,166.58,168.91,166.99,164.42,164.98,173.74,171.64,166.63,167.75,168.19,169.69,170.86,168.86,161.16,174.76,172.09,165.41,170.02,170.96,168.92,161.83,172.22,173.59,168.04,162.81,171.72,174.81,172.71,170.22,173.70,174.71,163.41,161.66,162.23,174.49,173.02,177.95,171.18,167.27,175.28,168.85,166.81,166.59,183.36
