n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
93.69,103.26,100.99,104.10,98.92,95.12,99.81,99.27,95.34,101.32,97.95,100.56,102.08,100.38,99.08,101.28,100.82,102.10,102.31,96.15,97.53,103.70,94.45,99.58,98.47,100.97,98.79,96.88,97.03,105.32,101.51,98.96,101.16,101.48,97.98,96.63,97.98,103.94,100.85,98.22,104.91,103.87,98.83,98.86,99.91,100.62,100.84,103.68,103.00,98.51
194.24,194.48,196.43,200.70,202.93,200.14,197.85,201.49,199.33,206.31,199.47,196.21,204.57,200.74,200.30,202.73,196.27,198.77,198.68,200.59,202.73,200.78,203.80,204.05,199.22,201.25,204.07,200.00,205.05,196.85,194.59,195.15,199.62,196.22,198.35,203.21,202.42,200.26,198.45,200.41,196.63,200.90,202.46,193.91,203.43,200.85,203.73,198.58,200.61,199.25
153.33,150.33,148.93,152.23,144.03,154.81,151.52,146.51,151.08,151.82,150.48,152.35,149.23,149.00,152.84,155.98,150.56,151.27,148.73,151.19,151.24,148.84,151.25,149.55,153.15,145.37,148.94,152.56,149.96,152.92,153.23,151.65,150.83,150.65,145.88,159.46,153.78,145.70,151.01,149.47,152.66,149.16,148.26,146.82,154.58,150.55,151.65,148.66,148.32,151.73
93.67,92.23,89.50,91.45,90.70,88.44,87.67,91.44,93.98,85.91,85.78,87.14,88.76,88.59,90.30,89.80,91.47,90.78,92.68,85.94,89.94,89.59,93.50,94.05,90.38,87.69,92.69,87.01,90.33,90.39,91.57,90.40,90.01,93.51,95.67,85.95,91.22,93.26,91.83,90.99,90.10,93.50,90.84,89.86,90.68,86.26,88.23,85.54,91.82,97.28
86.35,86.29,85.24,83.63,81.51,87.47,85.05,81.27,83.59,85.65,85.62,83.92,83.93,83.21,88.04,87.95,84.88,86.89,87.28,82.18,89.34,81.88,83.45,89.43,83.95,86.05,80.98,79.96,86.76,88.32,81.03,82.16,83.44,83.85,85.26,86.84,83.35,86.10,84.33,86.65,79.76,82.73,87.67,80.27,85.52,86.50,88.34,88.29,82.20,88.05
98.96,97.74,102.24,100.74,97.14,99.13,102.07,101.43,101.34,99.02,98.75,103.86,101.74,102.91,102.22,99.95,100.12,97.11,95.87,99.50,100.82,101.99,100.98,100.64,101.34,100.94,98.28,96.50,102.07,100.64,101.65,96.46,98.93,99.62,101.93,101.59,96.72,98.99,94.82,102.02,98.00,103.88,97.71,103.82,95.41,97.17,96.96,98.84,102.87,98.47
103.32,110.00,109.06,107.31,112.92,104.06,104.00,115.94,108.90,114.51,112.50,109.73,107.73,104.87,111.23,109.53,110.18,117.67,112.11,108.80,111.85,106.33,107.57,108.20,111.98,109.86,112.39,111.83,110.56,106.22,111.03,109.07,110.59,110.19,107.77,111.07,107.48,106.99,110.34,106.99,109.98,110.79,113.04,105.63,113.39,110.06,109.39,113.12,111.93,108.70
98.83,101.61,97.89,98.91,103.26,99.32,95.01,102.82,102.87,96.63,103.13,101.33,94.73,97.35,98.45,99.07,101.53,96.60,95.44,101.39,101.64,98.54,101.46,100.40,96.77,101.11,102.44,100.65,103.49,98.33,102.88,101.00,102.97,101.20,99.30,102.11,98.06,99.29,97.41,98.89,105.57,101.63,98.56,100.80,97.51,97.33,98.24,100.40,103.58,104.27
94.97,99.68,86.98,93.52,99.03,96.07,98.26,96.70,96.88,93.74,96.49,95.18,94.69,98.53,98.11,97.40,95.66,102.03,98.00,95.54,91.76,99.75,94.69,93.84,94.57,94.74,92.39,95.61,97.00,101.12,90.46,93.91,92.28,97.88,91.77,97.40,93.04,92.08,93.63,92.81,96.39,95.09,97.51,96.53,95.64,100.69,98.25,94.35,98.07,96.38
83.33,90.90,81.89,85.79,78.64,90.54,80.55,84.41,86.37,82.10,82.71,86.81,88.58,83.09,85.78,80.97,86.01,85.93,86.55,83.79,83.92,87.39,77.07,87.11,84.90,85.88,83.85,81.38,83.50,84.42,87.65,83.60,86.29,85.82,84.81,86.41,81.22,81.57,85.92,85.99,88.63,84.89,84.13,90.16,83.15,83.35,86.92,81.56,82.92,87.30
