n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
54.24,57.59,64.43,62.57,68.85,59.68,59.70,58.29,58.76,59.97,62.20,63.87,60.33,63.37,57.18,61.93,62.70,55.50,66.41,60.27,61.39,61.95,61.40,55.43,59.92,63.10,63.38,59.77,60.49,62.14,64.26,61.00,60.00,62.53,65.36,56.68,60.05,62.19,57.30,61.08,67.90,62.12,63.92,60.77,57.50,60.82,58.99,57.87,60.60,57.87
120.46,125.74,116.27,118.12,121.48,120.49,119.46,117.07,114.91,122.31,121.26,121.87,115.53,114.37,122.82,120.20,119.17,121.74,120.33,117.50,120.68,120.46,124.02,120.92,119.59,119.05,122.37,118.45,119.78,121.04,121.18,118.02,119.27,117.17,114.70,118.52,117.85,123.20,122.82,118.70,122.10,123.59,122.78,121.75,118.00,116.98,124.41,119.17,123.07,121.13
85.54,83.08,91.04,85.32,94.79,88.16,90.47,88.61,89.46,92.75,90.87,90.56,85.71,88.54,91.04,90.40,85.79,90.30,86.84,87.09,90.44,89.16,87.62,88.62,93.11,89.72,89.86,87.81,91.71,88.83,92.19,90.61,83.67,86.81,92.77,93.56,91.61,90.44,92.26,93.14,90.59,89.54,93.50,88.62,90.17,89.77,91.36,92.30,93.36,89.34
54.21,58.06,57.50,54.07,52.44,55.49,57.19,54.80,53.42,56.86,49.76,43.72,54.71,52.90,54.98,52.90,58.48,53.08,52.23,53.46,49.85,52.11,49.00,54.49,52.22,49.88,54.87,49.73,51.15,52.59,52.70,52.79,52.33,55.10,52.85,48.31,53.90,56.49,57.56,53.27,54.48,58.06,58.51,55.13,49.37,60.25,56.09,53.79,51.39,51.45
51.04,47.28,49.53,49.86,53.15,51.63,49.40,54.62,50.08,53.04,50.12,47.21,53.05,52.85,52.87,51.71,47.71,48.73,52.88,57.54,48.84,54.76,51.58,48.06,52.64,53.91,52.76,51.36,50.78,50.64,50.89,47.73,54.25,49.65,49.05,53.52,45.71,51.45,54.96,53.83,52.08,53.98,50.42,50.93,53.23,48.35,55.20,60.36,55.14,50.85
60.65,57.31,61.46,58.05,58.99,55.81,54.48,62.54,63.68,58.77,57.03,59.25,57.90,64.84,60.15,58.28,61.65,60.60,62.15,58.77,59.72,57.54,64.58,59.08,58.61,61.39,60.84,65.08,62.03,54.98,57.47,64.69,61.53,61.03,60.88,61.96,57.75,58.81,57.19,57.11,61.82,65.08,54.34,60.12,60.08,58.97,60.58,61.34,56.88,57.98
62.84,60.18,65.06,63.54,65.70,64.66,64.38,68.51,65.14,66.60,64.82,64.49,69.16,69.00,67.42,64.87,65.86,67.82,66.92,64.77,67.22,65.86,65.64,62.39,63.70,65.08,67.55,68.85,63.77,64.80,68.54,59.29,67.12,69.24,64.22,63.96,64.12,63.62,62.99,67.51,67.14,69.73,72.77,64.35,65.81,67.08,66.64,63.89,69.29,71.83
62.19,59.90,58.18,69.35,55.18,59.71,57.92,58.47,58.79,55.90,59.92,58.34,53.66,61.88,64.13,59.48,60.02,59.06,58.84,63.70,58.26,59.28,59.35,58.98,61.02,57.46,55.69,58.81,60.89,59.49,59.92,59.35,64.81,58.33,62.16,55.80,59.70,58.45,56.74,56.97,53.03,57.99,63.04,58.06,56.33,60.05,55.23,64.63,59.26,60.54
58.20,54.51,62.00,53.87,55.59,56.05,60.93,51.52,56.17,57.75,57.94,58.50,53.26,54.08,56.88,52.70,61.68,61.08,57.55,55.83,62.38,58.27,54.41,59.72,61.65,58.31,60.75,56.87,56.47,54.93,54.25,59.54,56.58,61.13,55.43,57.30,54.33,57.36,55.82,56.25,55.67,59.89,54.07,59.15,58.10,53.14,59.94,59.76,55.89,55.69
51.81,49.94,50.32,52.23,45.14,50.02,48.97,49.12,52.80,51.07,56.48,46.54,53.64,50.56,48.47,44.81,53.82,50.02,47.21,49.11,54.52,51.43,52.05,49.08,50.13,54.31,53.50,58.17,48.70,52.31,50.05,52.27,47.26,50.35,51.51,55.53,53.08,55.81,47.76,48.94,48.60,49.95,50.20,58.25,47.83,51.61,53.68,50.33,51.04,53.68
