n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
58.71,61.06,61.13,58.91,57.45,67.47,61.71,62.15,54.31,61.98,55.28,61.90,57.71,65.60,58.09,62.45,62.70,62.52,60.09,61.65,59.60,56.61,52.69,58.49,56.77,57.44,65.23,54.99,62.80,63.59,59.68,59.09,60.55,59.14,65.34,62.93,60.90,60.57,61.47,59.61,60.60,56.07,61.10,62.80,64.34,61.28,62.35,59.50,58.84,60.35
115.17,116.52,124.06,120.42,117.27,123.31,117.85,119.04,125.68,123.34,120.67,119.48,118.05,118.10,123.25,115.78,111.20,121.87,118.68,122.20,119.52,116.79,123.07,117.56,116.73,122.85,115.91,119.57,125.13,119.73,125.20,121.99,118.25,121.28,119.50,124.00,121.36,115.11,120.22,119.19,119.08,118.63,114.87,121.28,128.24,125.15,114.03,120.31,121.08,123.46
93.02,91.06,89.44,88.23,85.96,91.33,91.73,92.30,90.62,90.75,90.36,87.43,90.23,87.31,92.48,88.03,90.19,91.93,85.57,93.77,88.73,85.34,89.71,84.34,84.89,89.44,92.05,92.79,80.32,89.52,90.77,86.93,94.46,88.48,90.02,90.50,90.35,86.93,89.79,89.71,86.98,87.28,92.68,88.14,92.97,86.68,86.20,87.50,88.52,96.30
51.47,55.89,58.74,46.83,51.26,55.07,54.21,52.38,52.00,51.24,53.92,55.33,56.03,53.93,50.57,53.78,52.05,56.09,57.98,55.11,51.18,52.08,46.49,53.40,56.50,54.80,52.22,57.23,63.55,52.03,51.46,56.00,58.25,55.18,57.62,52.80,51.38,52.52,53.73,55.50,55.07,49.58,49.93,51.53,52.15,53.99,58.23,50.20,54.43,57.74
49.87,50.88,54.75,49.37,50.44,52.27,50.73,53.65,49.93,50.56,50.75,52.69,48.60,54.18,48.85,51.48,54.33,52.65,49.15,52.51,47.60,48.12,48.97,50.51,52.91,50.40,51.17,56.67,51.50,51.73,49.93,50.22,48.27,47.60,53.38,51.62,54.95,48.70,48.87,51.57,54.69,57.73,44.76,52.55,48.04,47.38,49.01,53.48,53.81,55.22
62.02,56.17,62.64,59.55,64.27,60.91,59.60,63.52,64.79,59.33,59.09,58.83,61.36,60.69,57.50,58.36,56.60,63.25,62.90,56.44,63.78,59.82,61.39,54.89,56.85,66.75,58.95,58.49,58.13,62.84,62.71,57.11,61.60,57.19,59.94,62.34,64.97,57.57,59.92,56.78,59.51,58.11,58.20,60.37,52.00,57.87,59.40,57.71,67.71,60.35
69.91,63.73,65.84,68.51,63.05,62.73,67.74,68.29,73.69,64.91,67.36,69.67,60.93,71.46,64.50,70.85,66.89,71.77,66.83,66.06,65.23,63.96,68.98,64.19,68.29,70.85,64.67,64.93,68.62,69.71,71.66,64.93,65.75,64.47,68.47,69.15,66.51,64.76,66.87,67.37,69.41,67.13,62.01,59.68,68.02,68.38,63.78,69.67,68.20,64.83
62.30,61.30,59.87,59.37,60.02,60.71,59.18,54.80,62.59,60.88,62.38,55.11,60.21,63.08,56.91,59.98,64.89,65.39,64.68,61.31,61.72,64.38,61.03,59.66,63.54,62.49,56.76,61.46,56.77,58.99,60.77,62.52,59.65,59.05,65.84,61.64,58.30,58.78,58.41,53.43,64.05,56.40,59.02,65.64,59.49,61.92,58.33,61.75,57.33,59.50
53.17,56.78,62.39,57.67,59.56,56.27,56.42,57.24,59.81,59.47,60.51,56.33,56.44,57.34,61.97,52.39,51.21,57.51,58.79,60.59,55.96,53.98,50.53,54.37,56.44,58.25,58.86,59.68,59.18,55.79,57.72,65.71,52.49,53.93,54.55,50.77,56.69,56.66,58.03,57.96,60.73,58.89,51.22,53.23,56.26,55.36,52.23,58.53,62.19,58.94
54.32,51.52,53.22,50.94,49.82,56.08,45.69,48.63,52.48,52.28,54.36,53.35,49.45,47.15,51.48,49.09,51.35,52.35,51.78,50.56,54.14,51.11,47.49,48.70,50.94,55.06,50.47,52.72,56.43,54.89,50.67,50.83,52.06,51.06,49.40,46.79,57.34,44.81,48.10,46.47,48.99,49.46,53.20,47.75,50.14,48.28,56.23,52.19,47.96,48.02
60.40,56.08,57.40,52.74,61.43,55.96,59.71,56.77,57.40,56.66,58.33,65.12,60.74,61.53,62.97,60.60,56.24,60.46,61.27,66.93,62.51,63.53,61.58,57.08,59.55,62.24,61.69,60.29,59.89,56.27,58.06,59.56,59.41,63.82,64.52,62.68,60.74,58.49,62.84,54.19,60.61,61.23,54.84,55.00,57.38,58.24,59.03,63.44,59.58,58.11
68.72,66.19,70.47,68.18,64.59,64.09,69.33,66.50,64.68,60.48,66.00,67.99,68.53,66.26,62.72,63.10,66.95,67.77,66.96,60.12,62.56,68.43,62.85,68.34,62.70,65.08,67.22,67.46,65.75,69.45,61.28,66.99,65.35,65.30,66.30,63.48,67.93,65.01,67.19,66.44,62.12,66.14,69.25,68.76,65.40,62.96,67.56,64.85,68.93,70.77
