n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
43.43,42.28,38.22,39.03,33.18,39.97,43.24,39.49,41.64,41.59,37.13,35.30,39.40,45.38,46.48,36.58,35.83,37.11,38.39,41.64,36.68,37.82,34.99,37.88,39.46,42.42,44.91,43.93,42.08,39.91,37.51,42.65,45.02,41.15,37.69,38.28,41.87,43.86,42.10,41.76,34.64,40.93,43.01,43.47,38.26,36.31,36.07,35.79,35.49,40.88
83.13,82.83,81.37,81.17,78.92,80.05,84.30,82.00,83.18,79.99,78.33,80.90,79.22,75.63,77.96,76.29,80.00,80.01,74.38,80.11,78.01,77.15,78.43,75.21,76.92,83.40,81.86,80.98,81.98,81.96,82.94,84.24,78.81,79.03,79.70,80.38,79.28,83.97,82.07,82.57,81.66,80.71,80.32,81.07,79.86,79.10,75.08,83.02,80.68,80.63
63.04,63.65,62.39,56.55,57.32,66.27,59.88,61.80,60.10,65.45,55.78,61.42,56.51,55.97,60.40,58.30,62.82,60.00,59.87,60.56,62.69,60.42,61.23,63.41,60.81,53.61,58.85,61.03,62.69,64.11,58.89,61.06,62.40,58.36,52.98,66.68,59.66,60.11,59.76,59.18,55.87,59.76,58.36,56.38,58.89,57.17,56.27,58.72,59.36,59.12
41.42,35.94,37.23,39.03,37.51,39.56,28.33,30.56,35.33,34.13,32.05,32.60,35.99,38.74,35.37,36.04,37.81,36.97,37.30,40.93,34.73,34.91,36.54,28.65,34.26,34.74,41.33,38.92,36.44,31.33,34.81,36.40,38.98,38.80,33.69,33.64,35.52,40.22,37.74,32.35,42.13,34.59,38.57,37.85,29.08,36.04,33.40,32.91,30.48,38.34
32.29,35.55,31.48,35.22,34.26,30.74,35.29,32.52,39.09,31.31,30.54,27.57,34.31,32.60,37.08,34.98,35.22,39.72,36.07,33.36,34.40,37.61,33.88,35.34,34.99,37.92,33.64,35.02,36.49,26.55,31.39,38.06,37.80,32.58,33.64,36.66,35.53,30.80,33.15,30.38,30.69,32.65,31.46,37.07,35.62,37.69,30.63,26.77,32.63,37.28
36.70,38.57,39.84,33.97,44.77,39.94,38.74,36.76,36.28,37.00,39.05,39.98,39.01,42.41,45.03,40.76,38.19,42.15,35.26,41.54,40.22,40.86,42.37,38.75,36.99,35.80,34.23,42.32,48.97,39.56,42.14,43.06,45.08,40.16,39.66,39.29,43.81,42.99,39.00,43.91,39.28,41.20,35.23,37.38,39.14,41.00,43.33,36.99,42.58,37.37
48.64,44.86,39.26,43.98,46.67,46.20,39.93,44.19,42.79,43.68,44.20,41.57,44.32,45.11,45.17,49.38,47.79,45.47,45.87,46.00,43.52,37.99,44.81,44.86,42.98,48.12,43.22,45.92,46.91,41.13,44.98,47.24,44.72,44.55,43.16,45.66,47.91,46.96,42.25,42.86,48.55,51.14,40.43,43.68,47.26,40.57,40.93,47.49,46.35,44.26
36.22,37.92,45.00,45.86,37.74,40.49,37.22,36.29,43.30,43.93,40.04,39.98,41.47,43.15,48.58,40.87,38.30,37.15,34.88,34.41,33.71,39.72,38.28,41.54,37.88,36.70,43.11,36.67,47.09,42.96,40.54,37.95,38.63,38.45,41.47,40.68,40.27,36.35,40.55,36.97,43.33,37.10,35.26,39.79,43.97,43.08,41.75,40.14,43.64,41.78
40.20,39.25,33.24,37.44,34.80,39.48,34.15,38.84,43.08,34.73,40.79,35.12,36.45,37.01,30.67,38.94,35.07,40.51,34.96,36.09,33.60,35.64,36.70,40.27,37.29,36.04,39.01,39.14,41.24,42.15,41.31,34.87,43.78,38.22,44.37,41.58,39.19,38.80,39.54,42.24,39.91,38.46,33.11,37.13,38.87,35.51,31.25,31.60,40.22,36.03
40.85,39.49,31.00,36.13,33.98,29.57,32.46,35.27,37.05,33.58,33.52,32.98,32.40,30.89,32.37,29.29,40.72,34.13,31.04,30.62,33.18,28.79,34.78,28.27,36.59,28.58,37.25,34.98,37.42,34.31,35.39,35.16,34.25,36.24,34.72,37.23,36.43,31.71,34.41,35.16,36.80,36.67,38.48,35.18,33.88,35.05,33.98,29.26,33.52,33.41
32.71,34.83,42.85,39.05,39.11,35.19,41.75,43.48,39.02,39.23,39.04,34.97,37.56,38.36,38.19,35.71,40.64,41.66,41.60,42.19,38.67,40.61,38.31,37.82,38.63,45.89,40.70,42.43,43.16,37.95,42.84,41.23,34.71,42.22,41.90,39.75,42.12,43.77,38.44,41.01,42.01,33.24,40.58,37.33,41.90,38.48,34.18,44.03,39.51,41.67
33.87,40.19,43.80,41.40,41.58,40.82,43.36,42.82,49.85,39.90,42.06,45.77,42.25,43.84,43.22,46.48,40.99,44.35,48.62,42.39,44.81,41.03,47.74,44.88,41.48,44.02,44.37,40.31,43.61,41.77,42.65,49.28,42.32,41.81,43.87,35.54,44.72,43.21,40.94,48.75,37.75,40.59,40.71,46.17,43.53,41.82,44.82,40.08,41.85,43.30
79.55,75.37,73.95,70.67,79.39,79.35,77.14,76.51,76.70,76.24,71.78,75.04,78.89,75.90,71.69,76.84,70.87,77.53,69.95,72.98,80.03,77.67,79.45,75.83,70.99,80.13,75.14,77.22,71.94,79.88,77.14,74.47,70.10,73.65,73.50,78.44,71.38,75.42,75.18,76.14,76.16,77.38,77.13,72.72,79.64,71.12,76.06,79.15,79.32,73.89
114.37,114.64,119.50,117.74,115.41,114.91,113.70,116.14,117.84,113.75,114.53,122.05,113.77,115.30,116.24,116.31,119.31,116.22,115.74,119.86,117.95,116.72,114.10,117.13,117.85,113.24,114.70,118.03,113.78,117.75,118.12,118.02,114.33,112.84,118.08,118.17,119.34,114.67,117.71,112.92,116.36,117.90,111.15,117.42,117.57,116.46,114.28,114.56,118.53,108.80
