n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
54.69,59.19,58.40,60.05,54.09,60.47,59.69,60.10,62.90,55.86,62.38,61.53,60.96,62.04,60.99,61.21,60.07,55.37,62.35,61.54,62.36,52.29,60.89,59.10,57.67,60.93,61.12,59.94,58.13,62.81,63.40,60.81,55.69,63.46,60.01,63.76,58.58,60.57,63.96,65.29,63.63,60.10,62.61,60.37,60.56,60.29,58.77,64.25,59.15,59.90
121.27,116.42,115.12,118.10,120.40,119.80,122.97,121.62,123.80,120.42,119.41,117.74,113.34,116.74,118.28,124.39,121.34,123.65,124.20,120.34,120.65,119.66,119.35,125.38,113.77,119.31,119.23,121.14,118.72,120.15,117.86,115.99,122.99,118.80,118.71,122.05,119.95,117.85,122.94,120.01,120.57,117.11,118.75,119.50,128.13,121.45,114.50,119.59,122.15,116.01
92.24,86.58,91.79,95.12,86.11,89.27,87.19,85.77,89.90,93.99,90.16,91.93,88.83,86.47,91.46,90.17,86.50,89.12,92.16,90.22,89.95,91.11,86.75,90.89,89.95,89.51,90.34,91.65,90.14,86.88,89.82,89.77,86.40,85.67,91.16,98.48,89.19,91.64,88.42,86.61,91.23,93.91,88.45,90.06,89.24,96.11,90.19,91.42,89.94,87.52
52.80,56.08,53.32,46.33,48.89,57.61,54.94,52.73,52.87,54.43,55.38,52.19,53.34,57.71,59.18,51.65,52.96,56.69,52.48,49.94,58.39,56.99,55.47,53.35,53.32,57.70,57.25,49.40,51.21,53.86,48.20,53.04,56.85,55.55,56.92,51.85,52.56,56.22,55.50,56.46,53.76,51.75,52.34,54.28,53.62,50.73,55.14,49.87,62.18,54.94
49.18,55.84,51.38,51.98,57.94,53.73,49.69,48.95,54.67,51.41,46.83,50.74,48.78,52.02,54.15,50.82,52.62,48.85,49.21,50.26,47.13,50.69,49.51,55.29,50.24,53.83,49.24,47.50,47.67,53.77,49.72,49.97,50.88,44.31,47.96,47.38,48.61,51.20,51.31,46.44,54.87,50.73,46.28,50.24,49.52,48.29,53.68,47.39,50.98,47.56
61.29,58.85,53.45,59.31,59.43,61.77,56.59,61.48,58.88,64.18,55.64,60.62,61.30,61.74,60.52,57.23,65.24,57.80,60.09,59.20,58.00,61.33,62.43,63.18,63.15,57.97,63.04,61.02,52.15,60.67,56.77,64.24,54.35,63.64,60.50,58.99,58.00,58.11,59.61,59.21,52.37,61.22,57.90,61.32,61.57,61.34,57.54,63.47,59.33,57.03
66.06,65.51,68.42,65.87,61.07,65.17,71.15,69.90,64.23,65.62,67.54,65.67,69.16,65.53,60.93,63.13,68.37,62.73,67.69,70.15,62.60,65.38,62.89,65.42,66.25,66.66,59.97,70.51,66.26,66.51,64.78,60.07,65.00,70.32,65.43,58.36,64.26,68.48,66.10,61.36,64.50,63.04,67.37,62.79,68.30,63.14,66.24,64.51,63.83,63.86
57.56,58.74,60.42,58.88,60.93,60.27,55.18,61.23,65.95,58.67,59.98,60.29,55.51,63.77,57.41,60.42,60.29,57.14,63.92,61.40,63.23,60.75,57.68,60.57,60.79,65.66,58.48,57.73,65.45,63.92,58.54,63.01,64.33,59.56,63.96,59.36,66.13,60.64,66.34,64.69,57.40,53.77,66.34,59.97,58.28,61.46,63.42,62.05,57.30,61.68
57.46,51.48,54.16,58.13,59.69,54.04,58.39,61.90,58.38,58.96,61.18,53.24,59.87,57.48,60.08,57.89,61.52,58.33,52.96,54.68,59.35,51.50,58.08,59.25,54.50,62.32,51.62,58.01,57.77,56.88,57.97,62.89,52.47,49.96,59.73,60.63,58.48,50.05,49.71,55.89,58.18,57.74,53.05,57.45,59.15,56.76,54.64,61.27,54.33,57.22
48.46,56.87,49.47,52.53,49.64,54.63,47.78,53.17,49.85,53.94,54.75,53.93,46.46,53.16,52.30,49.69,51.34,52.68,50.57,53.11,51.55,54.56,58.26,52.50,51.05,49.82,49.11,50.63,54.71,51.20,49.14,49.77,49.38,55.54,55.32,48.35,48.58,51.22,51.61,49.87,51.18,51.03,51.24,50.79,50.01,52.79,49.67,49.40,48.25,52.20
59.78,60.73,57.88,61.30,59.57,57.32,61.00,63.90,61.49,60.57,61.33,61.12,64.12,58.78,62.05,59.90,63.90,65.48,58.25,59.15,58.27,56.57,62.07,58.28,58.06,61.37,59.55,59.00,61.29,62.84,64.99,64.65,59.98,64.56,58.53,63.71,66.20,58.01,61.02,60.82,62.17,65.02,60.79,60.54,59.00,60.31,61.23,53.68,57.76,53.37
69.78,66.39,65.74,69.47,67.29,68.67,63.24,71.72,69.82,68.55,61.68,67.49,60.50,63.86,66.43,66.20,65.86,70.05,67.12,69.47,62.59,64.52,62.95,70.00,62.65,68.12,71.09,64.55,65.83,67.15,60.36,68.40,60.35,65.15,59.62,65.18,67.82,70.94,68.31,70.47,62.66,70.72,64.36,65.43,67.48,69.06,65.17,65.49,66.53,63.37
113.86,117.19,111.42,110.40,113.67,114.27,115.41,117.87,111.89,115.84,118.93,112.33,111.31,113.20,114.74,114.93,118.61,109.80,112.33,115.88,113.04,116.79,110.09,111.57,111.72,114.08,117.16,117.60,111.54,114.38,119.63,116.16,115.79,112.18,116.46,114.21,118.16,114.96,116.88,115.17,108.12,110.61,116.54,114.88,114.83,115.15,113.25,111.79,113.91,115.75
173.59,171.29,171.32,172.15,178.58,168.52,169.49,177.78,175.37,177.58,169.33,174.20,173.73,163.69,175.81,174.01,173.85,173.87,173.95,172.68,174.89,176.26,177.23,170.86,182.40,169.11,175.42,171.95,177.50,178.07,175.79,179.52,175.32,171.51,176.05,176.10,173.28,173.94,175.27,173.10,174.58,180.46,179.65,170.43,175.01,178.22,177.01,174.52,173.06,179.47
238.02,237.36,240.48,234.81,240.56,239.66,234.66,239.53,236.31,239.77,239.09,235.39,237.06,237.32,239.92,228.66,235.58,232.14,240.15,239.24,238.71,239.09,233.54,232.72,238.09,237.35,244.86,236.19,240.37,235.69,239.72,241.97,235.68,239.47,233.31,236.22,239.18,239.19,238.50,236.87,234.03,238.07,235.48,236.20,235.62,233.10,235.14,235.30,237.10,235.25
243.42,242.88,239.75,245.10,248.62,242.47,247.17,245.25,242.32,243.33,242.00,243.73,247.42,239.30,246.26,244.73,240.69,248.88,237.33,247.01,242.39,243.10,244.75,243.36,247.81,244.60,244.70,246.34,243.15,238.87,242.20,242.00,243.92,245.12,237.52,247.81,244.11,249.89,240.02,241.48,243.24,240.24,243.28,240.47,239.05,241.43,244.80,244.64,249.67,243.88
215.98,216.84,217.88,215.29,219.92,218.92,215.62,214.39,218.38,213.78,214.83,215.85,213.96,213.44,216.98,221.56,219.22,217.33,220.98,218.16,214.85,220.63,213.49,223.34,222.80,220.66,217.21,222.74,213.95,215.36,215.31,215.37,209.77,211.61,213.37,213.64,215.26,213.82,216.32,219.64,216.26,212.53,218.80,217.65,217.39,211.72,217.76,214.24,218.34,210.39
236.07,235.69,233.51,233.76,234.10,232.57,231.89,235.45,231.08,236.54,232.74,232.74,235.22,230.19,234.47,233.26,237.98,226.01,229.23,231.14,233.00,235.62,236.48,229.49,230.98,235.04,237.87,236.95,228.02,234.76,232.21,232.59,234.30,235.78,236.73,234.65,228.01,232.54,232.35,232.88,235.40,234.67,233.86,236.49,229.36,233.25,231.75,233.82,237.28,234.71
213.95,218.14,212.41,216.31,207.29,213.01,208.31,217.02,212.70,208.48,215.64,208.30,213.13,211.54,216.73,215.46,210.45,217.28,210.96,209.64,214.76,210.42,212.95,209.02,214.24,217.97,210.77,211.16,206.54,211.85,211.24,214.67,214.99,212.30,213.87,209.57,206.67,214.03,212.76,219.94,213.24,215.75,209.83,214.70,207.12,217.91,211.11,218.28,210.51,214.64
220.45,219.08,223.64,221.08,223.52,221.73,215.65,213.93,220.95,219.17,216.39,219.76,221.05,216.98,216.32,213.82,218.16,218.54,217.04,223.62,221.70,224.31,223.21,219.20,217.76,216.82,220.21,219.08,224.82,223.44,216.01,214.19,224.45,219.92,215.86,219.96,216.11,217.60,216.62,223.32,217.81,216.95,217.62,220.26,219.47,224.00,222.42,216.84,223.46,216.94
175.51,175.56,179.11,177.07,182.57,177.88,178.68,179.03,181.23,183.18,180.09,179.63,175.87,178.95,181.71,176.11,176.27,185.88,179.16,183.93,180.90,180.95,178.66,181.67,179.92,180.47,184.16,180.59,178.47,182.70,178.07,181.23,186.36,180.62,179.58,178.13,181.57,184.80,180.77,177.12,182.14,181.55,176.46,178.91,178.15,181.56,183.45,176.33,185.28,181.32
113.94,124.64,121.09,121.92,127.52,119.16,120.61,115.66,120.41,120.38,115.70,122.54,123.77,117.93,128.39,118.54,118.01,118.06,125.27,120.51,123.94,123.02,120.43,119.94,121.24,118.69,118.53,121.94,121.94,121.56,124.64,117.76,116.15,120.16,126.39,115.93,119.62,124.35,114.88,118.85,119.15,121.08,122.70,116.52,122.08,124.10,122.91,119.07,122.34,121.02
