n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
58.08,63.43,55.52,61.59,63.18,64.40,58.43,58.27,59.26,61.30,56.73,63.98,56.76,63.70,60.29,55.36,60.98,62.95,61.81,66.43,63.52,56.86,60.68,62.99,69.01,59.66,58.78,64.24,55.69,63.79,64.10,57.81,59.74,59.41,62.25,64.03,63.49,57.97,55.10,61.09,59.14,59.85,60.37,64.01,57.66,52.72,59.93,65.75,60.08,62.08
113.19,121.24,125.45,123.60,122.30,121.39,120.37,119.32,123.19,121.23,123.52,120.05,123.48,120.09,123.72,121.69,123.99,120.29,119.57,118.96,123.43,120.20,127.73,117.54,120.35,114.22,117.10,117.63,119.19,121.88,124.23,120.79,116.81,122.78,115.61,116.24,125.02,122.03,112.24,114.81,121.25,115.48,119.97,115.03,120.30,122.65,117.12,120.47,115.46,116.89
84.98,95.13,93.91,90.55,85.95,87.16,88.54,86.47,92.97,89.02,90.06,84.85,90.28,88.80,92.97,87.43,88.58,91.09,91.83,91.34,90.98,88.34,90.04,89.92,90.39,87.52,94.69,92.46,91.89,94.94,88.05,86.79,87.61,94.42,89.99,87.97,94.25,93.31,87.33,93.04,95.15,91.18,88.85,90.51,95.28,89.32,91.25,90.72,92.87,92.47
50.34,47.53,56.08,55.25,57.66,53.77,52.66,53.81,60.27,55.95,51.08,51.07,52.75,52.13,61.06,54.04,61.22,56.22,55.76,51.61,45.31,54.81,58.82,49.54,59.87,58.14,56.21,56.17,53.23,53.92,55.86,55.71,51.18,50.70,57.43,53.31,53.08,50.39,60.73,56.83,51.99,59.03,46.86,52.94,54.21,59.47,52.47,52.43,48.66,51.45
53.95,53.50,51.37,52.29,52.28,50.87,56.93,50.19,49.35,51.78,50.41,51.62,48.65,50.52,56.70,53.61,50.94,48.23,57.85,52.70,52.89,52.31,48.50,51.81,49.14,50.93,50.67,47.19,50.52,45.72,47.90,51.74,48.02,49.38,52.82,50.74,55.72,51.64,52.15,50.82,50.44,50.82,54.43,53.04,52.69,52.51,45.33,54.19,49.33,51.50
62.27,58.02,59.36,52.11,67.32,59.07,63.93,53.95,61.47,56.88,55.37,57.46,59.45,61.44,59.36,59.50,59.68,63.54,66.08,58.57,62.14,64.33,54.60,64.52,59.05,62.69,59.91,59.44,64.36,56.94,61.46,62.11,60.64,52.44,61.56,56.75,60.38,54.40,61.01,61.38,60.35,61.87,58.39,59.29,60.11,58.81,56.89,62.98,59.06,54.78
71.73,63.38,71.25,67.53,68.79,63.34,66.19,66.72,65.68,66.85,66.32,64.61,66.19,72.40,67.78,57.46,67.63,66.21,64.83,65.55,68.93,67.46,66.87,65.20,63.30,64.55,69.13,64.51,66.10,64.40,63.86,71.73,66.05,67.71,64.03,64.67,71.17,64.91,67.81,62.11,70.12,65.67,65.01,72.12,66.76,66.30,65.19,69.24,63.23,64.71
60.48,65.36,60.43,54.44,62.28,58.33,61.68,62.57,58.55,59.95,58.67,60.31,62.62,61.87,61.41,61.29,63.64,62.17,54.85,59.15,60.60,58.58,58.33,64.22,58.05,62.24,58.81,55.60,61.22,59.45,65.41,58.43,60.46,59.99,62.04,57.28,66.59,60.71,56.93,59.84,57.59,58.42,59.71,63.08,58.72,59.86,54.86,53.04,59.31,58.46
58.55,59.02,58.84,60.46,57.49,54.67,51.04,59.70,52.51,54.24,56.79,61.80,57.34,61.32,57.65,57.12,54.41,59.00,55.14,59.28,49.81,61.76,55.23,57.41,58.80,54.05,51.49,55.18,56.42,64.94,60.12,58.75,64.66,50.90,60.06,65.89,54.73,58.84,55.58,61.15,54.42,56.73,58.87,60.15,54.90,51.64,54.66,58.79,58.73,61.56
49.61,48.52,52.09,53.21,47.83,51.96,46.05,45.62,55.80,50.87,51.66,50.21,51.57,55.59,52.02,48.22,50.40,50.91,50.33,49.65,55.72,52.10,43.21,55.15,50.75,50.98,55.80,51.98,55.73,47.46,47.11,55.36,46.13,53.55,55.00,49.46,48.95,53.01,49.57,48.38,52.25,47.43,46.53,51.43,50.36,50.99,48.26,50.26,50.57,53.27
63.41,53.21,60.34,62.73,56.20,60.06,57.14,60.61,62.00,61.83,56.86,56.54,61.38,59.11,60.07,59.16,56.88,58.06,59.89,60.95,57.44,56.59,63.01,60.43,55.12,59.40,56.10,61.60,62.16,63.67,61.21,55.48,66.01,62.89,62.76,57.12,57.55,59.07,61.81,56.21,60.55,57.86,57.45,61.40,61.84,56.16,57.93,59.95,64.31,56.79
66.00,65.07,72.13,71.22,66.73,62.92,62.24,65.73,60.71,63.86,62.80,69.54,64.60,61.03,68.47,68.36,62.07,62.80,62.12,65.42,67.14,64.08,62.02,66.51,57.61,65.09,62.77,67.18,69.77,60.85,64.39,63.00,63.19,61.02,66.86,67.31,73.98,68.59,62.04,62.88,69.55,65.27,69.26,62.16,66.79,71.52,68.77,72.61,68.05,64.72
111.66,110.05,109.71,117.46,112.53,112.04,110.71,118.00,109.87,120.62,117.54,112.72,115.77,114.32,116.26,112.13,107.44,114.15,110.12,112.76,112.36,110.83,112.84,111.86,109.63,115.50,112.39,112.94,111.24,114.78,112.40,117.11,113.86,112.63,116.83,113.99,111.75,114.49,113.55,116.66,119.76,114.82,108.03,114.96,111.41,114.92,112.65,112.66,111.80,111.96
177.22,172.06,175.45,172.92,171.17,176.78,169.16,169.79,173.27,170.50,176.53,175.74,173.67,170.04,175.20,170.47,171.95,172.29,171.47,173.78,179.96,173.17,176.53,173.30,172.35,176.22,174.61,171.18,174.28,178.28,175.28,173.40,175.73,173.25,169.73,171.69,170.77,178.43,169.09,172.20,173.61,175.76,177.56,176.40,173.59,171.50,174.64,179.28,172.50,175.21
234.07,237.81,236.60,239.51,234.92,234.49,242.62,234.22,237.55,240.50,236.85,234.80,239.51,238.52,237.75,233.68,233.42,237.26,234.39,235.23,235.42,236.43,230.62,234.02,238.18,231.70,236.47,238.43,235.21,239.20,236.67,237.67,233.03,239.35,239.74,232.76,233.35,234.91,240.67,236.14,237.46,239.43,243.75,234.45,238.09,239.82,235.55,240.35,237.28,242.98
240.07,243.83,238.53,241.03,241.11,244.17,241.28,236.37,239.38,242.84,239.26,241.27,246.29,240.39,242.97,239.59,245.24,236.87,248.40,247.85,241.92,240.27,242.03,245.95,240.74,240.62,239.19,243.50,246.25,245.55,240.02,242.06,240.40,243.22,247.09,241.40,240.34,235.84,242.42,240.08,240.77,244.00,244.71,243.84,242.35,246.34,238.86,244.27,240.35,243.40
215.20,216.02,213.85,216.94,219.80,213.64,216.51,214.62,216.63,217.72,213.17,216.36,216.30,215.04,219.84,214.61,214.61,216.02,217.61,215.54,215.51,221.03,214.19,219.70,217.70,213.93,214.05,212.59,217.35,216.77,218.02,216.46,215.70,217.55,217.46,210.23,216.88,211.66,216.06,218.15,217.80,215.38,219.17,216.30,217.44,218.68,216.92,215.11,214.94,213.27
238.89,239.39,227.43,228.35,236.99,235.31,231.42,233.05,234.68,229.76,234.19,233.25,234.01,235.57,230.13,235.71,224.99,232.30,232.23,235.93,234.33,236.47,229.44,233.76,233.67,230.68,233.50,234.80,233.75,231.06,233.11,238.35,234.74,234.43,238.30,235.49,236.69,237.50,235.08,230.54,236.78,230.34,236.44,234.61,237.86,231.89,233.13,228.49,234.14,233.29
212.24,210.58,215.36,213.84,212.78,212.68,207.32,212.45,218.78,209.34,215.08,214.13,209.07,218.30,211.91,210.28,208.12,213.12,212.81,213.28,209.22,213.89,214.32,213.83,212.56,211.76,220.07,209.76,209.98,212.77,212.89,206.90,216.32,210.64,209.54,213.69,210.70,213.94,212.93,208.39,219.08,211.38,212.49,214.76,216.44,217.59,213.82,217.04,216.65,212.53
219.78,219.99,219.84,220.17,224.26,219.80,218.10,218.25,217.37,217.73,214.44,215.38,218.61,221.03,219.63,219.88,221.90,218.36,214.00,219.63,218.72,215.43,220.44,219.43,221.59,220.01,217.88,221.84,217.73,214.52,221.73,219.80,225.29,217.54,223.59,218.85,216.34,214.20,219.17,216.86,221.05,211.30,221.38,218.47,215.00,221.03,222.02,219.00,224.18,214.46
180.02,175.43,186.65,184.76,181.16,179.29,179.63,169.41,181.09,181.44,185.88,179.67,179.75,179.73,179.45,180.47,179.49,174.10,186.77,178.62,178.26,180.34,175.20,180.90,180.03,183.82,177.90,180.73,181.06,182.24,182.09,178.78,178.46,182.42,179.13,180.43,177.74,180.62,181.22,181.18,180.62,177.67,181.76,180.86,178.19,179.56,191.06,179.43,178.49,184.16
122.51,117.30,121.04,121.13,123.74,119.90,123.20,120.16,120.40,116.00,119.18,120.54,124.21,124.71,117.37,120.34,123.24,120.74,121.22,124.40,125.11,119.54,119.86,125.13,122.39,116.78,124.75,125.96,119.57,119.05,116.04,120.41,124.38,115.32,116.93,123.39,121.97,115.98,116.65,117.84,117.46,115.41,125.53,126.53,116.54,122.78,117.37,122.77,121.32,125.59
